City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
390,portland,90,US,1578203764,86,43.66,-70.25,34.0,8.05
391,prince rupert,90,CA,1578203728,93,54.32,-130.32,37.4,17.22
392,mbandaka,100,CD,1578203986,43,0.05,18.26,72.86,2.1
393,liverpool,75,GB,1578203813,93,53.41,-2.98,46.4,8.05
394,luzon,1,US,1578203986,87,38.01,-122.25,51.01,3.87
395,marsa matruh,40,EG,1578203987,87,31.35,27.25,48.2,9.17
396,yumen,100,CN,1578203987,63,40.29,97.04,22.68,12.3
397,beloha,11,MG,1578203987,55,-25.17,45.06,84.31,12.19
398,port hardy,75,CA,1578203987,93,50.7,-127.42,39.2,10.29
399,leningradskiy,0,RU,1578203988,57,69.38,178.42,-10.46,2.64
400,iskateley,100,RU,1578203988,89,67.68,53.15,21.78,19.73
401,kramat,44,ID,1578203988,64,-7.04,112.64,89.51,10.63
402,toyooka,75,JP,1578203988,80,35.55,134.82,46.4,6.93
403,candelaria,49,PH,1578203989,71,13.93,121.42,82.0,11.01
404,dhidhdhoo,37,MV,1578203989,78,6.88,73.1,82.09,13.58
405,arilje,100,RS,1578203989,100,43.75,20.1,35.6,6.93
406,kunyang,100,CN,1578203989,23,27.66,120.56,68.0,3.36
407,noumea,40,NC,1578203864,52,-22.28,166.46,87.8,20.8
408,oeiras do para,99,BR,1578203990,98,-2,-49.85,73.15,3.31
409,hobyo,52,SO,1578203990,73,5.35,48.53,81.55,16.84
410,baniachang,40,BD,1578203990,47,24.52,91.37,75.97,4.03
411,altamont,90,CA,1578203991,100,49.4,-98.5,23.0,10.29
412,phoenix,20,US,1578203732,81,33.45,-112.08,52.0,6.93
413,khorixas,100,NA,1578203991,75,-20.37,14.96,70.05,8.16
414,pizarro,81,CO,1578203992,85,4.95,-77.37,78.33,10.65
415,mount isa,40,AU,1578203702,19,-20.73,139.49,104.0,8.05
416,teya,20,MX,1578203992,72,21.05,-89.07,69.01,4.7
417,atar,32,MR,1578203992,27,20.52,-13.05,51.71,9.84
418,kindu,100,CD,1578203993,98,-2.95,25.92,70.61,1.25
419,kununurra,95,AU,1578203993,37,-15.77,128.74,96.8,10.29
420,gambela,78,ET,1578203993,40,8.25,34.59,77.13,1.86
421,goderich,99,CA,1578203993,83,43.74,-81.71,34.0,1.99
422,afzalpur,11,IN,1578203994,52,17.2,76.36,79.12,13.11
423,san vicente,75,EC,1578203892,83,-0.59,-80.41,77.0,9.17
424,bambous virieux,75,MU,1578203994,88,-20.34,57.76,78.01,11.18
